text,label
Món hàng tôi chán nản!!,negative
Cuộc gặp gỡ toi buon!,negative
Công việc tôi rất buồn,negative
Cả nhóm rất tệ!,negative
Công việc toi chi dang quan sat.,neutral
Món hàng đẹp và bền,positive
Bản thân tôi tạm được!!,neutral
Giao dịch thất vọng.,negative
Cả nhóm được thôi!!,neutral
Công việc toi buon.,negative
Buổi sáng nay vừa đủ dùng.,neutral
Ngày hôm nay toi met moi!,negative
Chuyến đi toi thich,positive
Mình dịch vụ tận tình,positive
Công việc không tệ!!,neutral
Buổi tối hôm qua toi khong cam thay gi nhieu,neutral
Món hàng sẽ ủng hộ lần sau!!,positive
Buổi sáng nay cực kỳ ổn!,positive
Mình tôi giận dữ!,negative
Công việc ngon lành!,positive
Món hàng vượt mong đợi,positive
Tụi mình được thôi,neutral
Bản thân tôi sẽ ủng hộ lần sau.,positive
Tôi tôi cực kỳ phấn khích.,positive
Buổi tối hôm qua tôi chỉ đang quan sát,neutral
Đơn hàng cuộc sống thật khó khăn,negative
Cuộc sống rất thích!,positive
Buổi tối hôm qua tiền mất tật mang!,negative
Giao dịch thời tiết hôm nay bình thường!,neutral
Dịch vụ tôi đang ở nhà.,neutral
Cuộc sống mình đang rất hứng khởi.,positive
Buổi tối hôm qua vượt mong đợi!,positive
Ngày hôm nay toi hanh phucrất tốt!,positive
Tụi mình mình cảm thấy thất vọng!!,negative
Tôi vượt mong đợi.,positive
Mình rất đáng mua.,positive
Món hàng mình cảm thấy hạnh phúc!!,positive
Món hàng that la mot ngay kinh khung.,negative
Đơn hàng mình cảm thấy hạnh phúc!,positive
Món hàng khá ổn!,neutral
Giao dịch không tệ!,neutral
Công việc rất đáng mua,positive
Sản phẩm chưa ấn tượng!,neutral
Buổi sáng nay ngày hôm nay cũng như mọi ngày.,neutral
Bản thân tôi rất kém,negative
Mình mình thấy vô vọng!!,negative
Công việc rất kém!!,negative
Cuộc sống mọi thứ đều ổn định và vui vẻ!!,positive
Dịch vụ toi vui.,positive
Mình cuộc sống thật đẹp,positive
Đơn hàng không đúng mô tả,negative
Dịch vụ toi chi dang quan sat!!,neutral
Cả nhóm dịch vụ tệ,negative
Đơn hàng tạm được!,neutral
Cuộc gặp gỡ sẽ ủng hộ lần sau!,positive
Công việc cuộc sống thật mệt mỏi.,negative
Giao dịch tôi thấy rất tốt!!,positive
Công việc không tệ.,neutral
Cả nhóm hôm nay thật tuyệt!,positive
Mình hôm nay thật tuyệt!,positive
Trải nghiệm này cực kỳ ổn.,positive
Cuộc gặp gỡ bình thường.,neutral
Chuyến đi ngày hôm nay cũng như mọi ngày!!,neutral
Đơn hàng ổn.,neutral
Thời tiết chấp nhận được.,neutral
Cả nhóm dịch vụ tệ!,negative
Trải nghiệm này tiền mất tật mang,negative
Sản phẩm rất thích!,positive
Tụi mình tôi thấy bực mình,negative
Cuộc sống không vui cũng không buồn,neutral
Dịch vụ ngon lành,positive
Chuyến đi cũng được,neutral
Dịch vụ trung bình,neutral
Công việc không đúng mô tả,negative
Trải nghiệm này toi hanh phucrất tốt!,positive
Ngày hôm nay hỏng,negative
Mình tôi thấy rất tốt!!,positive
Cuộc gặp gỡ chưa ấn tượng!!,neutral
Cả nhóm xuất sắc!!,positive
Chuyến đi thời tiết hôm nay bình thường!!,neutral
Mình được thôi!,neutral
Thời tiết dịch vụ tận tình!,positive
Hàng hóa đây là một cái bàn.,neutral
Ngày hôm nay toi chi dang quan sat!!,neutral
Mình đáng giá,positive
Buổi sáng nay dịch vụ tận tình!!,positive
Món hàng thời tiết hôm nay bình thường!!,neutral
Món hàng tôi chỉ đang quan sát,neutral
Mình tôi chỉ đang quan sát.,neutral
Cuộc gặp gỡ hỏng.,negative
Trải nghiệm này tôi yêu công việc này!,positive
Tụi mình tôi yêu công việc này!,positive
Cuộc sống toi hanh phucrất tốt!!,positive
Món hàng đây là một cái bàn.,neutral
Buổi tối hôm qua tôi có một chiếc xe máy!!,neutral
Cuộc sống tuyệt vời,positive
Công việc mình cảm thấy hạnh phúc!,positive
Cuộc gặp gỡ được thôi,neutral
Mình rất bực mình!,negative
Đơn hàng không hài lòng!!,negative
Tôi hoàn toàn thất vọng!,negative
Bản thân tôi tôi ghét công việc này,negative
Buổi tối hôm qua vượt mong đợi.,positive
Tôi rất bực mình!!,negative
Trải nghiệm này khá ổn.,neutral
Cả nhóm tôi thấy bực mình,negative
Cuộc sống xuất sắc.,positive
Công việc toi thich!,positive
Ngày hôm nay không có gì đặc biệt!!,neutral
Cuộc gặp gỡ đây là một cái bàn,neutral
Tôi mình đang rất hứng khởi.,positive
Tụi mình tôi thấy bình thường!,neutral
Mình không hài lòng,negative
Công việc mình cảm thấy hạnh phúc.,positive
Ngày hôm nay thất vọng!,negative
Thời tiết đẹp và bền!,positive
Buổi tối hôm qua ngon lành,positive
Cả nhóm toi khong cam thay gi nhieu.,neutral
Mình toi chi dang quan sat,neutral
Buổi sáng nay đáng giá.,positive
Cả nhóm toi hanh phucrất tốt.,positive
Buổi sáng nay tôi thấy bực mình,negative
Chuyến đi mình cảm thấy thất vọng,negative
Bản thân tôi mình đang rất hứng khởi.,positive
Buổi tối hôm qua ngon lành.,positive
Buổi tối hôm qua tạm hài lòng!,neutral
Trải nghiệm này không đúng mô tả.,negative
Giao dịch hôm nay thật tuyệt!!,positive
Ngày hôm nay không có gì đặc biệt,neutral
Ngày hôm nay toi khong cam thay gi nhieu!!,neutral
Hàng hóa tiền mất tật mang!,negative
Buổi sáng nay không vui cũng không buồn!,neutral
Chuyến đi không có gì đặc biệt!,neutral
Chuyến đi toi met moi,negative
Món hàng đóng gói cẩu thả!,negative
Công việc được thôi!!,neutral
Tụi mình thời tiết hôm nay bình thường!!,neutral
Chuyến đi mình đang rất mệt mỏi,negative
Bản thân tôi mọi thứ đều ổn định và vui vẻ!,positive
Sản phẩm thời tiết hôm nay bình thường,neutral
Ngày hôm nay tôi cực kỳ phấn khích,positive
Mình tôi yêu công việc này!,positive
Cả nhóm tôi rất buồn.,negative
Tụi mình khá ổn,neutral
Món hàng toi thich.,positive
Sản phẩm toi ghet,negative
Tụi mình tuyệt vời!!,positive
Thời tiết xuất sắc!,positive
Công việc toi met moi!,negative
Buổi tối hôm qua mình khuyên nên thử,positive
Món hàng cũng được.,neutral
Cuộc sống sẽ ủng hộ lần sau.,positive
Giao dịch đáng đồng tiền.,positive
Chuyến đi thất vọng!!,negative
Bản thân tôi cực kỳ ổn,positive
Tôi vượt mong đợi!,positive
Ngày hôm nay that la mot ngay kinh khung.,negative
Đơn hàng ổn!,neutral
Hàng hóa tôi giận dữ.,negative
Chuyến đi tôi đang nghe nhạc,neutral
Tụi mình mình khuyên nên thử.,positive
Trải nghiệm này tôi chán nản!,negative
Dịch vụ hoàn toàn thất vọng!!,negative
Giao dịch tôi yêu công việc này!!,positive
Bản thân tôi cực kỳ ổn!,positive
Giao dịch toi hanh phucrất tốt.,positive
Ngày hôm nay đáng đồng tiền!,positive
Dịch vụ bình thường!!,neutral
Ngày hôm nay cực kỳ ổn!,positive
Buổi tối hôm qua tôi yêu công việc này.,positive
Hàng hóa xuất sắc!,positive
Dịch vụ thất vọng!!,negative
Tôi tôi chỉ đang quan sát!,neutral
Hàng hóa ngày hôm nay cũng như mọi ngày,neutral
Dịch vụ khá ổn!!,neutral
Món hàng rất kém,negative
Dịch vụ thật là một ngày ý nghĩa,positive
Hàng hóa tôi giận dữ!!,negative
Dịch vụ toi khong cam thay gi nhieu.,neutral
Sản phẩm phải trả lại,negative
Sản phẩm mình thấy vô vọng.,negative
Trải nghiệm này xuất sắc.,positive
Trải nghiệm này sẽ ủng hộ lần sau.,positive
Ngày hôm nay tạm ổn,neutral
Cả nhóm hôm nay thật tuyệt,positive
Cuộc gặp gỡ rất thích!!,positive
Giao dịch xuất sắc!,positive
Cả nhóm tuyệt vời,positive
Cả nhóm toi khong cam thay gi nhieu!!,neutral
Bản thân tôi được thôi!,neutral
Buổi sáng nay không có gì đặc biệt!!,neutral
Thời tiết phải trả lại,negative
Mình hài lòng!,positive
Cuộc sống toi buon.,negative
Công việc mọi thứ đều đi sai hướng!!,negative
Chuyến đi ổn.,neutral
Trải nghiệm này đáng giá!!,positive
Sản phẩm được thôi!!,neutral
